22C2,,,,,,
1,21415938,An,Vu Hai Ha ,Nu,29/7/2003,24829171
2,21750083,An,Pham The ,Nam,7/9/2003,25163316
3,21982523,Anh,Nguyen Tu Lon ,Nam,9/9/2003,25395756
4,21450978,Anh,Tran Hang ,Nam,4/12/2003,24864211
5,21497311,Anh,Pham Tryc ,Nu,12/2/2003,24910544
6,21344927,Anh,Nguyen Thuy ,Nu,16/5/2003,24758160
7,21702375,Anh,Nguyen Thao ,Nu,29/5/2003,25115608
8,21018888,Bao,Doan Duy ,Nam,7/10/2003,24432121
9,21338282,Chi,Lo Thuy ,Nu,3/2/2003,24751515
10,21781978,Cuong,Tran Viet ,Nam,9/1/2003,25195211
11,21285285,Dung,Duong Minh ,Nam,14/02/2003,24698518
12,21139282,Dung,Lo Sy ,Nam,2/1/2003,24552515
13,21322365,Duy,Nguyen The ,Nam,22/10/2003,24735598
14,21764316,Ha,Nguyen Ngoc ,Nu,27/5/2003,25177549
15,21565670,Hai,Nguyen Duc Gia ,Nam,10/11/2003,24978903
16,21434029,Huy,Dao Thanh ,Nam,21/3/2003,24847262
17,21630621,Huy,Dao Nguyen Gia ,Nam,25/02/2003,25043854
18,21871696,Hung,Ng Huu Binh ,Nam,11/3/2003,25284929
19,21136661,Hung,Lo Hang ,Nam,27/02/2003,24549894
20,21423087,Hung,Doan Vinh ,Nam,14/01/2003,24836320
21,21216323,Khang,Dang Huu ,Nam,16/02/2003,24629556
22,21488514,Khang,Bui Nam ,Nam,14/5/2003,24901747
23,21064713,Khiom,Vu Thien ,Nam,9/7/2003,24477946
24,21048800,Khuyen,Doan Bo ,Nam,22/9/2003,24462033
25,21674232,Linh,Tran Phuong ,Nu,6/2/2003,25087465
26,21865743,Linh,Vu Ty ,Nu,10/9/2003,25278976
27,21523719,Linh,Do Vu Ngoc ,Nu,22/11/2003,24936952
28,21982947,Linh,Hang Phuong ,Nu,19/11/2003,25396180
29,21172977,Long,Hang Lo Minh ,Nam,17/12/2003,24586210
30,21289986,Luong,Ng Thi Ngoc ,Nam,9/8/2003,24703219
31,21396074,Mai,Nguyen Nhu ,Nu,2/11/2003,24809307
32,21666211,Minh,Hang Duy ,Nam,29/12/2003,25079444
33,21041496,My,Vu Dang Khang ,Nu,23/6/2003,24454729
34,21642929,Ngon,Vu Ngoc Hieu ,Nu,13/8/2003,25056162
35,21245452,Nguyen,Ha Huy Tung ,Nam,3/9/2003,24658685
36,21500287,Phu,Pham Bo ,Nam,9/9/2003,24913520
37,21314540,Quang,Hang The ,Nam,6/6/2003,24727773
38,21047770,Thy,Tran Bao ,Nu,17/8/2003,24461003
39,21690162,Toan,Quan Huu ,Nam,19/10/2003,25103395
40,21135017,Trinh,Nguyen Viet ,Nu,17/12/2003,24548250
41,21764598,Tue,Do Phuc Hieu ,Nam,5/6/2003,25177831
42,21577143,Tung,Pham Duy ,Nam,14/5/2003,24990376
43,21275546,Vu,Vu Dang Hang ,Nam,15/3/2003,24688779
